record_id,drug_a_name,drug_b_name,drug_a_rxcui,drug_b_rxcui,condition_name,condition_id,severity,prr,frequency,source
TS-00000019,sertraline,ibuprofen,36437,5640,gastrointestinal bleeding,10017947,Moderate,4.6,0.0187,TWOSIDES
TS-00000020,sertraline,tramadol,36437,10689,serotonin syndrome,10040108,Major,14.2,0.0521,TWOSIDES
TS-00000021,simvastatin,clarithromycin,36567,21212,rhabdomyolysis,10039020,Major,19.7,0.0712,TWOSIDES
TS-00000022,simvastatin,ritonavir,36567,85762,rhabdomyolysis,10039020,Major,24.5,0.0891,TWOSIDES
TS-00000023,atorvastatin,gemfibrozil,83367,4719,myopathy,10028641,Moderate,7.8,0.0289,TWOSIDES
TS-00000024,alprazolam,oxycodone,596,7804,respiratory depression,10038687,Major,13.4,0.0498,TWOSIDES
TS-00000025,tramadol,fluoxetine,10689,4493,serotonin syndrome,10040108,Major,12.8,0.0467,TWOSIDES
TS-00000026,tramadol,sertraline,10689,36437,serotonin syndrome,10040108,Major,11.9,0.0423,TWOSIDES
TS-00000027,digoxin,furosemide,3407,4603,hypokalemia-induced toxicity,10021016,Moderate,6.4,0.0234,TWOSIDES
TS-00000028,methotrexate,ibuprofen,6851,5640,methotrexate toxicity,10027315,Major,10.8,0.0401,TWOSIDES
TS-00000029,methotrexate,omeprazole,6851,7646,delayed methotrexate elimination,10015958,Moderate,5.3,0.0189,TWOSIDES
TS-00000030,theophylline,ciprofloxacin,10466,2551,theophylline toxicity,10043530,Major,15.1,0.0567,TWOSIDES
TS-00000031,lithium,hydrochlorothiazide,42351,5487,lithium toxicity,10024582,Major,16.8,0.0634,TWOSIDES
TS-00000032,insulin,metoprolol,5856,6918,masked hypoglycemia,10021005,Moderate,4.9,0.0156,TWOSIDES
TS-00000033,azithromycin,sotalol,18631,37798,QT prolongation,10014695,Major,11.4,0.0412,TWOSIDES
TS-00000034,ciprofloxacin,calcium carbonate,2551,1897,reduced ciprofloxacin absorption,10061103,Moderate,4.2,0.0143,TWOSIDES
TS-00000035,rifampin,ethinyl estradiol,9384,4124,contraceptive failure,10010808,Major,13.7,0.0489,TWOSIDES
TS-00000036,tamoxifen,paroxetine,10324,32937,reduced tamoxifen efficacy,10022677,Moderate,6.8,0.0234,TWOSIDES
TS-00000037,metoprolol,verapamil,6918,11170,bradycardia,10006093,Major,9.8,0.0367,TWOSIDES
TS-00000038,albuterol,propranolol,435,8787,bronchospasm,10006482,Moderate,5.4,0.0198,TWOSIDES
TS-00000039,aspirin,warfarin,1191,11289,gastrointestinal bleeding,10017947,Major,16.2,0.0589,TWOSIDES
TS-00000040,sertraline,warfarin,36437,11289,international normalised ratio increased,10022604,Moderate,5.1,0.0176,TWOSIDES
TS-00000041,omeprazole,clopidogrel,7646,32968,reduced antiplatelet response,10036807,Moderate,6.9,0.0187,TWOSIDES
TS-00000042,amlodipine,simvastatin,17767,36567,increased simvastatin levels,10062000,Minor,3.2,0.0098,TWOSIDES
TS-00000043,atorvastatin,clarithromycin,83367,21212,myopathy,10028641,Moderate,7.1,0.0245,TWOSIDES
TS-00000044,metformin,furosemide,6809,4603,reduced renal clearance,10038430,Minor,2.8,0.0089,TWOSIDES
TS-00000045,levothyroxine,omeprazole,10582,7646,reduced levothyroxine absorption,10022097,Minor,3.1,0.0091,TWOSIDES
TS-00000046,metformin,lisinopril,6809,29046,hypoglycemia risk,10020993,Minor,2.4,0.0067,TWOSIDES
TS-00000047,gabapentin,oxycodone,25480,7804,CNS depression,10008028,Moderate,5.6,0.0189,TWOSIDES
TS-00000048,duloxetine,tramadol,72625,10689,serotonin syndrome,10040108,Major,10.2,0.0378,TWOSIDES
TS-00000049,ferrous sulfate,levothyroxine,4490,10582,reduced levothyroxine absorption,10022097,Moderate,4.3,0.0134,TWOSIDES
TS-00000050,aspirin,spironolactone,1191,9997,reduced diuretic efficacy,10036807,Minor,2.6,0.0078,TWOSIDES
